time,seconds_elapsed,z,y,x
1743284667523016200,0.01201611328125,8.858546257019043,1.8579005002975464,-0.6320692300796509
1743284667533056300,0.02205615234375,9.576807022094728,2.0685901641845703,-0.4118026793003082
1743284667543096600,0.0320966796875,9.931148529052734,2.2026655673980717,-0.2777273952960968
1743284667553136600,0.04213671875,9.586383819580078,1.867477297782898,-0.2394201755523681
1743284667563177000,0.052177001953125,9.720458984375,1.8579005002975464,-0.1244984865188598
1743284667573217000,0.062217041015625,9.892841339111328,1.81959331035614,-0.1436520963907241
1743284667583287800,0.072287841796875,9.883264541625977,1.8962076902389529,-0.2968810200691223
1743284667600316400,0.08931640625,9.78749656677246,1.9823989868164065,-0.3734954595565796
1743284667610387200,0.09938720703125,9.691728591918944,1.9919757843017576,-0.363918662071228
1743284667620427300,0.10942724609375,9.739612579345703,2.0207061767578125,-0.3447650372982025
1743284667630467600,0.119467529296875,9.854534149169922,2.0207061767578125,-0.2777273952960968
1743284667640507600,0.129507568359375,9.825803756713867,1.972822189331055,-0.3351882398128509
1743284667650548000,0.1395478515625,9.701305389404297,2.1164743900299072,-0.3926490843296051
1743284667660588000,0.149588134765625,9.65342140197754,2.0590133666992188,-0.5937620401382446
1743284667670628400,0.15962841796875,9.394847869873049,2.030282974243164,-0.6607996821403503
1743284667680668400,0.16966845703125,9.327810287475586,2.0877439975738525,-0.6991068720817566
1743284667690708700,0.179708740234375,9.21288776397705,2.164358377456665,-0.5841852426528931
1743284667700748800,0.189748779296875,9.232041358947754,2.183511972427368,-0.545877993106842
1743284667710819600,0.199819580078125,9.318233489990234,2.164358377456665,-0.545877993106842
1743284667720859600,0.209859619140625,9.452308654785156,2.2218191623687744,-0.6320692300796509
1743284667730900000,0.21989990234375,9.53849983215332,2.19308876991272,-0.6033388376235962
1743284667740940000,0.22993994140625,9.682151794433594,2.0590133666992188,-0.6991068720817566
1743284667750980400,0.23998046875,9.768342971801758,2.011129379272461,-0.8427590131759644
1743284667761020400,0.2500205078125,9.854534149169922,1.9632453918457031,-0.9385270476341248
1743284667771060700,0.260060791015625,9.825803756713867,1.9919757843017576,-0.8427590131759644
