time,seconds_elapsed,z,y,x,Activity,Shake
1743284675326712600,7.815712646484375,-0.1053448766469955,-7.709329605102539,-6.981492042541504,In Pocket,False
1743284675336752600,7.825752685546875,-0.2298433631658554,-7.738059997558594,-6.3973069190979,In Pocket,False
1743284675346793000,7.83579296875,-0.3447650372982025,-7.556100368499756,-5.497087001800537,In Pocket,False
1743284675356833000,7.8458330078125,-0.1340752989053726,-7.412448406219482,-4.95120906829834,In Pocket,False
1743284675366903800,7.85590380859375,-0.3830722570419311,-7.46033239364624,-4.730942726135254,In Pocket,False
1743284675376943900,7.86594384765625,0.3256114423274994,-7.603984832763672,-4.730942726135254,In Pocket,False
1743284675386984200,7.875984130859375,0.2011129409074783,-7.546523571014404,-4.501099109649658,In Pocket,False
1743284675397024300,7.886024169921875,-0.0287304203957319,-7.402871608734131,-4.529829502105713,In Pocket,False
1743284675407064600,7.896064697265625,-0.3830722570419311,-7.364564418792725,-4.721365928649902,In Pocket,False
1743284675417104600,7.906104736328125,-0.5650315880775452,-7.364564418792725,-4.95120906829834,In Pocket,False
1743284675427175400,7.916175537109375,-0.545877993106842,-7.345410823822021,-5.305551052093506,In Pocket,False
1743284675437215500,7.926215576171875,-0.5650315880775452,-7.393294811248779,-5.669469833374023,In Pocket,False
1743284675447255800,7.936255859375,-0.5650315880775452,-7.469909191131592,-5.774814605712891,In Pocket,False
1743284675457296000,7.9462958984375,-0.5363011956214905,-7.718906402587891,-5.861005783081055,In Pocket,False
1743284675467336200,7.956336181640625,-0.5171475410461426,-7.824251174926758,-5.688623428344727,In Pocket,False
1743284675477376300,7.966376220703125,-0.8619126081466675,-7.824251174926758,-5.449203014373779,In Pocket,False
1743284675487416600,7.97641650390625,-0.871489405632019,-7.929595947265625,-5.228936672210693,In Pocket,False
1743284675497456600,7.98645654296875,-0.9193734526634216,-8.015787124633789,-5.056553840637207,In Pocket,False
1743284675507496700,7.99649658203125,-0.90979665517807,-7.977479934692383,-4.989516258239746,In Pocket,False
1743284675517567500,8.0065673828125,-1.0247182846069336,-8.178592681884766,-5.066130638122559,In Pocket,False
1743284675527607800,8.01660791015625,-0.9576807022094728,-8.197746276855469,-5.094861030578613,In Pocket,False
1743284675537647900,8.02664794921875,-0.7661445140838623,-8.274360656738281,-5.276820659637451,In Pocket,False
1743284675547688000,8.03668798828125,-0.7182605266571045,-8.303091049194336,-5.430049419403076,In Pocket,False
1743284675557728300,8.046728271484374,-0.8236053586006165,-8.418013572692871,-5.430049419403076,In Pocket,False
1743284675567768300,8.056768310546875,-1.0247182846069336,-8.33182144165039,-5.276820659637451,In Pocket,False
1743284675577808600,8.06680859375,-1.1779472827911377,-8.274360656738281,-5.046977043151856,In Pocket,False
1743284675587848700,8.0768486328125,-1.3503297567367554,-8.197746276855469,-4.817133903503418,In Pocket,False
1743284675597889000,8.086888916015624,-1.6280571222305298,-8.015787124633789,-4.5394062995910645,In Pocket,False
1743284675607959600,8.09695947265625,-2.0590133666992188,-8.034940719604492,-4.644751071929932,In Pocket,False
1743284675618000000,8.106999755859375,-2.5761611461639404,-7.910442352294922,-4.644751071929932,In Pocket,False
1743284675628040000,8.1170400390625,-2.940079689025879,-7.805097579956055,-4.797980308532715,In Pocket,False
1743284675638080300,8.127080322265625,-3.533841609954834,-7.671022415161133,-4.922478675842285,In Pocket,False
1743284675648120300,8.137120361328124,-3.189076662063598,-7.661445617675781,-5.305551052093506,In Pocket,False
1743284675658160600,8.14716064453125,-3.3901896476745605,-7.623138427734375,-5.305551052093506,In Pocket,False
1743284675668200700,8.15720068359375,-3.380612850189209,-7.4986395835876465,-5.343858242034912,In Pocket,False
1743284675678240800,8.16724072265625,-3.265691041946411,-7.393294811248779,-5.583278179168701,In Pocket,False
1743284675688281000,8.177281005859374,-3.141192674636841,-7.27837324142456,-5.947196960449219,In Pocket,False
1743284675698321200,8.187321044921875,-3.026270866394043,-7.393294811248779,-6.301538944244385,In Pocket,False
1743284675708392000,8.197391845703125,-2.9017724990844727,-7.230489253997803,-6.675034523010254,In Pocket,False
1743284675718432000,8.207431884765626,-2.8634653091430664,-7.182605266571045,-6.962338447570801,In Pocket,False
1743284675728472300,8.217472412109375,-2.7102363109588623,-7.105990409851074,-7.15387487411499,In Pocket,False
1743284675738512400,8.227512451171876,-2.6144683361053467,-6.971915245056152,-7.402871608734131,In Pocket,False
1743284675748552700,8.237552734375,-2.011129379272461,-6.991068840026856,-7.728483200073242,In Pocket,False
1743284675758592800,8.2475927734375,-1.522712230682373,-7.086836814880371,-8.034940719604492,In Pocket,False
1743284675768633000,8.257633056640625,-1.3120225667953491,-7.115567684173584,-8.456320762634277,In Pocket,False
1743284675778673200,8.267673095703126,-1.1779472827911377,-7.230489253997803,-8.877699851989746,In Pocket,False
1743284675788713500,8.27771337890625,-1.0630255937576294,-7.297526836395264,-9.011775016784668,In Pocket,False
1743284675798784000,8.287783935546875,-0.5267243981361389,-7.450755596160889,-9.452308654785156,In Pocket,False
1743284675808824300,8.29782421875,-0.1340752989053726,-7.402871608734131,-9.797073364257812,In Pocket,False
1743284675818864400,8.307864501953125,0.3064578175544739,-7.58483076095581,-10.256759643554688,In Pocket,False
1743284675828904700,8.31790478515625,0.8619126081466675,-7.65186882019043,-10.505757331848145,In Pocket,False
1743284675838944800,8.32794482421875,0.9193734526634216,-7.862558364868164,-10.409989356994627,In Pocket,False
1743284675848984800,8.33798486328125,0.4501099288463592,-7.718906402587891,-9.854534149169922,In Pocket,False
1743284675859025200,8.348025146484375,-0.4884171485900879,-7.575253963470459,-8.973467826843262,In Pocket,False
1743284675869065200,8.358065185546875,-1.915361404418945,-7.469909191131592,-7.833827972412109,In Pocket,False
1743284675879136000,8.368135986328125,-3.112462282180786,-7.297526836395264,-6.655880928039551,In Pocket,False
1743284675889176000,8.378176025390625,-3.600879430770874,-7.6997528076171875,-5.899312973022461,In Pocket,False
1743284675899216400,8.38821630859375,-3.246537446975708,-8.992621421813965,-5.736507415771484,In Pocket,False
1743284675909256400,8.39825634765625,-2.049436569213867,-10.572794914245604,-6.196194171905518,In Pocket,False
