Time,Seconds_Elapsed,Z,Y,X,Activity,Shake,Magnitude,Filtered_Mag,Mean_Mag,Std_Mag,Max_Mag,Min_Mag,Peak_Count,Energy,Jerk,Dominant_Freq
1743284678681261000,11.170260986328126,-2.815581083297729,-4.424484729766846,-6.301538944244385,In Pocket,False,8.198350750388315,8.229449022728227,10.058222957747038,1.1036965156981002,12.477471748236892,8.229449022728227,2.0,7677.731483989761,0.8862428612999338,1.3333333333333335
1743284679987155700,12.47615576171875,-2.978386878967285,-9.682151794433594,-3.457227230072021,In Pocket,False,10.7036102270033,10.371544068125953,10.7059287531499,1.05177962022882,13.543360770691132,9.56926588380383,2.0,8678.130072409254,13.918174601172211,0.6666666666666667
1743284750064366600,6.65736669921875,-30.43509292602539,3.5242648124694824,9.308655738830566,Real Shake,True,32.02134281300949,24.54208737219055,30.529892368664864,11.148922809206017,59.28285950696637,14.534547235729937,1.0,79103.66210878656,191.6241193057283,2.666666666666667
1743284679715887900,12.204887939453124,-1.6280571222305298,-7.4316020011901855,-5.793968200683594,In Pocket,False,9.562915131269973,9.82359303767401,10.356510194795787,1.01885802697853,12.765027266932135,8.184592761395455,2.0,8121.115060374437,4.450851330121736,1.3333333333333335
1743284681734940200,14.223940185546876,-4.903325080871582,-7.422025203704834,-6.914454460144043,In Pocket,False,11.26670916703453,11.024797595862534,10.154226513558834,0.619353035721632,11.138818929484817,9.247039825743704,0.0,7761.509972181052,17.636140610544885,0.0
1743284748256006000,4.849005859375,5.324704647064209,2.3367409706115723,-1.4748282432556152,Real Shake,True,5.998996273486619,5.899575656274622,28.986809661750122,10.501327358898479,50.38925792092113,5.899575656274622,2.0,71178.19792359728,25.71522492469728,0.0
1743284744629763300,1.222763427734375,-0.0861912593245506,3.648763418197632,-0.5171475410461426,Real Shake,True,3.6862372406522197,6.061369844659245,9.904747125405988,1.0445548155806947,12.117847704197988,6.061369844659245,2.0,7438.5421838115735,6.623073657571183,1.3333333333333335
1743284743866282800,0.45928271484375,8.89685344696045,2.1164743900299072,-1.0821791887283323,Real Shake,True,9.20894005284328,9.473574588765784,9.864995697526552,0.2896705489862516,10.360130408504173,9.194263011831012,0.0,7305.069776410606,5.668486509876061,0.6666666666666667
1743284747984768800,4.577768798828125,-8.178592681884766,-24.689008712768555,-7.326257228851318,Real Shake,True,27.020558366892363,31.42214253101234,33.175595360591714,9.736602133040321,56.5377127242918,19.512581584203275,1.0,89561.81472591587,131.48604188960007,0.6666666666666667
1743284682287363600,14.776363525390623,-1.0630255937576294,-7.594407558441162,-6.349422931671143,In Pocket,False,9.955913877787582,9.972473256873315,10.472607397022534,1.4203117140672044,13.57438408443229,8.080023318524722,2.0,8374.942043931456,2.183434674804971,0.6666666666666667
1743284744529331000,1.1223310546875,12.832921028137209,2.6623523235321045,0.0670376494526863,Real Shake,True,13.106352507676082,12.043278185483572,10.027758107750344,0.6050640614910379,12.117847704197988,9.34527020839044,1.0,7568.78653643605,16.26235609871935,0.6666666666666667
1743284746689006300,3.28200634765625,7.891288757324219,-0.1532289087772369,-1.273715257644653,Real Shake,True,7.994890112285063,12.77603933123345,22.82180364804717,13.90060846231016,48.784477563919964,3.157547215045883,3.0,53361.39588731269,380.6072714878072,0.0
