Time,Seconds_Elapsed,Z,Y,X,Activity,Shake,Magnitude,Filtered_Mag,Mean_Mag,Std_Mag,Max_Mag,Min_Mag
1743284505748793300,0.19879345703125,9.892841339111328,-0.4596867263317108,-0.0861912593245506,Stable,False,9.90389067893924,9.956412172975979,9.9422407590622,0.01929925244279381,9.95892546349883,9.890809266359406
1743284505758864000,0.20886376953125,9.940725326538086,-0.4405331015586853,-0.1436520963907241,Stable,False,9.951518746203622,9.953328500454623,9.94536672076696,0.015146770696505924,9.95892546349883,9.903456987972792
1743284505775960800,0.2259609375,10.007762908935549,-0.4979939460754394,-0.1053448766469955,Stable,False,10.020699274742741,9.949407900953197,9.94766426641598,0.011501486636976501,9.95892546349883,9.915122041397542
1743284505786001000,0.2360009765625,9.940725326538086,-0.4501099288463592,-0.0287304203957319,Stable,False,9.950951934502443,9.945147946858686,9.949165561689039,0.008631818151394318,9.95892546349883,9.92518865048626
1743284505796041200,0.246041259765625,9.883264541625977,-0.4788403511047363,-0.1628057211637497,Stable,False,9.896196834362739,9.941144573463003,9.949963357837875,0.006853242854262245,9.95892546349883,9.93333028747094
1743284505806081300,0.256081298828125,9.911994934082031,-0.4596867263317108,-0.1149216815829277,Stable,False,9.92331408615747,9.937984055017456,9.9501960462152,0.0063167846725314955,9.95892546349883,9.937984055017456
1743284505816121300,0.266121337890625,9.921571731567385,-0.4118026793003082,-0.0766144543886184,Stable,False,9.9304097018168,9.936117916634242,9.950026460358245,0.0066552422461621874,9.95892546349883,9.936117916634242
1743284505826192100,0.276192138671875,9.892841339111328,-0.4692635238170624,-0.1244984865188598,Stable,False,9.904747240023882,9.935770192831518,9.949619938251985,0.007269123454842551,9.95892546349883,9.935770192831518
1743284505836232400,0.286232421875,9.892841339111328,-0.4405331015586853,-0.1149216815829277,Stable,False,9.903311878725054,9.936900912666006,9.949125541250778,0.007789442783717646,9.95892546349883,9.935770192831518
1743284505846272500,0.2962724609375,9.921571731567385,-0.4501099288463592,-0.0095768067985773,Stable,False,9.931781123640993,9.939230898729228,9.948661574397317,0.008098255184858941,9.95892546349883,9.935770192831518
1743284505856312800,0.306312744140625,10.02691650390625,-0.4788403511047363,-0.0574608407914638,Stable,False,10.038508076720271,9.942328794597545,9.948306045093158,0.008217516910774741,9.95892546349883,9.935770192831518
1743284505866383400,0.31638330078125,9.90241813659668,-0.4979939460754394,-0.0574608407914638,Stable,False,9.915098823035054,9.945734297344886,9.948093318304469,0.008226725244136765,9.95892546349883,9.935770192831518
1743284505876423700,0.326423583984375,9.96945571899414,-0.5171475410461426,-0.0766144543886184,Stable,False,9.983153744524639,9.949059788302785,9.948017578281982,0.008209634220998052,9.95892546349883,9.935770192831518
1743284505886463700,0.336463623046875,9.911994934082031,-0.4309563040733337,-0.0861912593245506,Stable,False,9.921733509950384,9.952029609470586,9.948042517797694,0.00822161746167804,9.95892546349883,9.935770192831518
1743284505896504000,0.346504150390625,9.90241813659668,-0.507570743560791,-0.0861912593245506,Stable,False,9.91579255253465,9.954469098209172,9.948115849509552,0.008274555796538205,9.95892546349883,9.935770192831518
1743284505906544000,0.356544189453125,9.998186111450195,-0.507570743560791,-0.0861912593245506,Stable,False,10.011432590398758,9.956285882251088,9.948186240308091,0.008340831591203324,9.95892546349883,9.935770192831518
1743284505916615000,0.366614990234375,9.979032516479492,-0.4692635238170624,-0.0957680642604827,Stable,False,9.990518992618574,9.957470370606814,9.948219293129826,0.008378028231103273,9.95892546349883,9.935770192831518
1743284505926655000,0.376655029296875,9.90241813659668,-0.4118026793003082,-0.0957680642604827,Stable,False,9.911439750147805,9.958099868680154,9.948208562659167,0.008364544517377361,9.95892546349883,9.935770192831518
1743284505936695300,0.3866953125,9.950302124023438,-0.4501099288463592,-0.0287304203957319,Stable,False,9.960518899356977,9.958314115008228,9.948177995234637,0.008324339809461033,9.95832300963754,9.935770192831518
1743284505946735400,0.3967353515625,9.940725326538086,-0.4979939460754394,-0.0287304203957319,Stable,False,9.953232812762879,9.95826508092197,9.948175098798858,0.008320633340791292,9.958314115008228,9.935770192831518
1743284505956775700,0.406775634765625,9.931148529052734,-0.4405331015586853,-0.1149216815829277,Stable,False,9.941578723350384,9.958074426431706,9.948258211471645,0.008415008480783094,9.958314115008228,9.935770192831518
1743284505966846500,0.416846435546875,9.940725326538086,-0.4979939460754394,-0.0957680642604827,Stable,False,9.953652068971254,9.957818952202457,9.948482734059036,0.008614940241743035,9.958314115008228,9.935770192831518
1743284505976886500,0.426886474609375,9.979032516479492,-0.507570743560791,-0.0957680642604827,Stable,False,9.992391582939796,9.957542654101264,9.94888947171644,0.0088497523573967,9.958314115008228,9.935770192831518
1743284505986926600,0.436926513671875,9.959878921508787,-0.4118026793003082,-0.0574608407914638,Stable,False,9.96855412414551,9.957282316617754,9.949496190204393,0.00899450975745312,9.958314115008228,9.935770192831518
1743284505996967000,0.446966796875,9.921571731567385,-0.3926490843296051,-0.0766144543886184,Stable,False,9.929633865489864,9.957083268821252,9.950293124972307,0.008921396719237905,9.958314115008228,9.935770192831518
1743284506007007000,0.457007080078125,9.921571731567385,-0.5171475410461426,-0.0861912593245506,Stable,False,9.93541424083722,9.956990407398878,9.951243442591377,0.008545584844092178,9.958314115008228,9.935770192831518
1743284506017047300,0.46704736328125,9.979032516479492,-0.4788403511047363,-0.0957680642604827,Stable,False,9.990973404475328,9.957029610370467,9.952289027278187,0.007848387838362551,9.958314115008228,9.935770192831518
